"lon","lat","d18Of","month"
-40,-44.5263157894737,-4.88619518280029,1
-37.5,-44.5263157894737,-5.01875591278076,1
-35,-44.5263157894737,-5.13624382019043,1
-90,-42.6315789473684,-5.77902507781982,1
-87.5,-42.6315789473684,-5.64570140838623,1
-85,-42.6315789473684,-5.57521963119507,1
-82.5,-42.6315789473684,-5.38342761993408,1
-80,-42.6315789473684,-5.2880277633667,1
-77.5,-42.6315789473684,-5.19849061965942,1
-75,-42.6315789473684,-5.12268495559692,1
-72.5,-42.6315789473684,-4.96834278106689,1
-70,-42.6315789473684,-4.86524677276611,1
-67.5,-42.6315789473684,-4.83075952529907,1
-65,-42.6315789473684,-4.81888294219971,1
-62.5,-42.6315789473684,-6.26342535018921,1
-60,-42.6315789473684,-7.49596738815308,1
-57.5,-42.6315789473684,-7.65059566497803,1
-55,-42.6315789473684,-6.97659063339233,1
-52.5,-42.6315789473684,-6.63701295852661,1
-50,-42.6315789473684,-5.6145133972168,1
-47.5,-42.6315789473684,-5.18672323226929,1
-45,-42.6315789473684,-5.01536750793457,1
-42.5,-42.6315789473684,-4.67299461364746,1
-40,-42.6315789473684,-4.5992956161499,1
-37.5,-42.6315789473684,-4.61127758026123,1
-35,-42.6315789473684,-4.67595100402832,1
-90,-40.7368421052632,-5.17936754226685,1
-87.5,-40.7368421052632,-5.23350763320923,1
-85,-40.7368421052632,-5.31272506713867,1
-82.5,-40.7368421052632,-5.23254632949829,1
-80,-40.7368421052632,-5.11077690124512,1
-77.5,-40.7368421052632,-5.04013729095459,1
-75,-40.7368421052632,-4.8284740447998,1
-72.5,-40.7368421052632,-4.64231967926025,1
-70,-40.7368421052632,-4.58586168289185,1
-67.5,-40.7368421052632,-4.49227285385132,1
-65,-40.7368421052632,-4.41311931610107,1
-62.5,-40.7368421052632,-5.66500043869019,1
-60,-40.7368421052632,-7.39187622070312,1
-57.5,-40.7368421052632,-7.17612266540527,1
-55,-40.7368421052632,-6.79888296127319,1
-52.5,-40.7368421052632,-6.65529584884644,1
-50,-40.7368421052632,-6.28735780715942,1
-47.5,-40.7368421052632,-6.0071759223938,1
-45,-40.7368421052632,-5.61647033691406,1
-42.5,-40.7368421052632,-4.77890300750732,1
-40,-40.7368421052632,-4.44807243347168,1
-37.5,-40.7368421052632,-4.31525325775146,1
-35,-40.7368421052632,-4.29115009307861,1
-90,-78.6315789473684,-12.4966096878052,2
-87.5,-78.6315789473684,-12.2981071472168,2
-85,-78.6315789473684,-12.0975303649902,2
-82.5,-78.6315789473684,-11.9363670349121,2
-80,-78.6315789473684,-11.8332777023315,2
-77.5,-78.6315789473684,-11.763427734375,2
-75,-78.6315789473684,-11.6453828811646,2
-72.5,-78.6315789473684,-11.4602737426758,2
-70,-78.6315789473684,-11.2565431594849,2
-67.5,-78.6315789473684,-10.970588684082,2
-65,-78.6315789473684,-10.7526435852051,2
-62.5,-78.6315789473684,-10.5273962020874,2
-60,-78.6315789473684,-10.2379360198975,2
-57.5,-78.6315789473684,-9.89289093017578,2
-55,-78.6315789473684,-9.2442626953125,2
-52.5,-78.6315789473684,-8.95991802215576,2
-50,-78.6315789473684,-8.97843170166016,2
-47.5,-78.6315789473684,-9.06120681762695,2
-45,-78.6315789473684,-9.00039100646973,2
-42.5,-78.6315789473684,-8.57535457611084,2
-40,-78.6315789473684,-8.75018119812012,2
-37.5,-78.6315789473684,-9.13005447387695,2
-35,-78.6315789473684,-9.78444862365723,2
-90,-76.7368421052632,-12.0307502746582,2
-87.5,-76.7368421052632,-11.9634256362915,2
-85,-76.7368421052632,-11.8655691146851,2
-82.5,-76.7368421052632,-11.8174486160278,2
-80,-76.7368421052632,-11.7980375289917,2
-77.5,-76.7368421052632,-11.7968626022339,2
-75,-76.7368421052632,-11.8147525787354,2
-72.5,-76.7368421052632,-11.7449474334717,2
-70,-76.7368421052632,-11.5856313705444,2
-67.5,-76.7368421052632,-11.3186979293823,2
-65,-76.7368421052632,-10.8626489639282,2
-62.5,-76.7368421052632,-10.2291812896729,2
-60,-76.7368421052632,-9.03982925415039,2
-57.5,-76.7368421052632,-8.22842502593994,2
-55,-76.7368421052632,-7.99384212493896,2
-52.5,-76.7368421052632,-7.84929943084717,2
-50,-76.7368421052632,-7.70034170150757,2
-47.5,-76.7368421052632,-7.66645669937134,2
-45,-76.7368421052632,-7.59035348892212,2
-42.5,-76.7368421052632,-7.58478498458862,2
-40,-76.7368421052632,-7.54295778274536,2
-37.5,-76.7368421052632,-7.60971021652222,2
-35,-76.7368421052632,-7.7061243057251,2
-90,-74.8421052631579,-11.1310262680054,2
-87.5,-74.8421052631579,-11.1603298187256,2
-85,-74.8421052631579,-11.2655019760132,2
-82.5,-74.8421052631579,-11.4209127426147,2
-80,-74.8421052631579,-11.6015701293945,2
-77.5,-74.8421052631579,-11.7252426147461,2
-75,-74.8421052631579,-11.8753004074097,2
-72.5,-74.8421052631579,-12.115743637085,2
-70,-74.8421052631579,-12.0286378860474,2
-67.5,-74.8421052631579,-11.8045377731323,2
-65,-74.8421052631579,-11.0406608581543,2
-62.5,-74.8421052631579,-10.2423934936523,2
-60,-74.8421052631579,-8.64155387878418,2
-57.5,-74.8421052631579,-8.13563632965088,2
-55,-74.8421052631579,-7.839684009552,2
-52.5,-74.8421052631579,-7.64858961105347,2
-50,-74.8421052631579,-7.49718189239502,2
-47.5,-74.8421052631579,-7.35220527648926,2
-45,-74.8421052631579,-7.29175615310669,2
-42.5,-74.8421052631579,-7.37076282501221,2
-40,-74.8421052631579,-7.39886426925659,2
-37.5,-74.8421052631579,-7.38269329071045,2
-35,-74.8421052631579,-7.44605112075806,2
-90,-72.9473684210526,-9.73037528991699,2
-87.5,-72.9473684210526,-9.89451694488525,2
-85,-72.9473684210526,-9.94524955749512,2
-82.5,-72.9473684210526,-10.1376838684082,2
-80,-72.9473684210526,-10.7710847854614,2
-77.5,-72.9473684210526,-11.2394542694092,2
-75,-72.9473684210526,-11.649055480957,2
-72.5,-72.9473684210526,-12.0917263031006,2
-70,-72.9473684210526,-12.2698373794556,2
-67.5,-72.9473684210526,-11.9555931091309,2
-65,-72.9473684210526,-11.1151399612427,2
-62.5,-72.9473684210526,-9.87236213684082,2
-60,-72.9473684210526,-8.29552555084229,2
-57.5,-72.9473684210526,-7.9967188835144,2
-55,-72.9473684210526,-7.75072765350342,2
-52.5,-72.9473684210526,-7.58785629272461,2
-50,-72.9473684210526,-7.54532289505005,2
-47.5,-72.9473684210526,-7.46471357345581,2
-45,-72.9473684210526,-7.34651470184326,2
-42.5,-72.9473684210526,-7.37343883514404,2
-40,-72.9473684210526,-7.39263010025024,2
-37.5,-72.9473684210526,-7.54194593429565,2
-35,-72.9473684210526,-7.5599799156189,2
-90,-71.0526315789474,-8.89090442657471,2
-87.5,-71.0526315789474,-8.78025531768799,2
-85,-71.0526315789474,-8.87689304351807,2
-82.5,-71.0526315789474,-8.98887729644775,2
-80,-71.0526315789474,-9.21708583831787,2
-77.5,-71.0526315789474,-9.96238136291504,2
-75,-71.0526315789474,-10.6249113082886,2
-72.5,-71.0526315789474,-11.4984273910522,2
-70,-71.0526315789474,-12.077033996582,2
-67.5,-71.0526315789474,-11.8282070159912,2
-65,-71.0526315789474,-10.9046277999878,2
-62.5,-71.0526315789474,-9.612229347229,2
-60,-71.0526315789474,-8.52603530883789,2
